AIRCRAFT,ABREV,REV,REV_DATE,VERSION,LOPA,MAX TAXI,MAX TAKEOFF,MAX LANDING,MAX ZERO FUEL,FUEL CAPACITY,EMPTY,EMPTY,FLY AWAY KIT,FLY AWAY KIT,FLY AWAY KIT,FLY AWAY KIT,FLY AWAY KIT,FLY AWAY KIT,CHEMICAL FLUID,CHEMICAL FLUID,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,STRETCHER,STRETCHER,STRETCHER,STRETCHER,PANTRY,PANTRY,PANTRY,PANTRY,PANTRY,PANTRY,PANTRY,PANTRY,WATER,WATER,WATER,WATER,MAX_PAX,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,DISTRIBUTION,DISTRIBUTION,DISTRIBUTION,DISTRIBUTION,DISTRIBUTION,DISTRIBUTION
,,,,,,,,,,,WEIGHT,INDEX,PERMANENT,PERMANENT,OCCASIONNAL,OCCASIONNAL,VIP,VIP,WEIGHT,INDEX VAR,Captain or FO,Captain or FO,1ST OBS,1ST OBS,2ND OBS,2ND OBS,FWD LH,FWD LH,FWD RH,FWD RH,AFT LH,AFT LH,AFT RH,AFT RH,RIGHT,RIGHT,LEFT,LEFT,A,A,B,B,C/E/F,C/E/F,D,D,DRINKING by 1/4,DRINKING by 1/4,by 1/4,by 1/4,,OA,OA,OA,OA,OB,OB,OB,OB,OC,OC,OC,OC,OA,OA,OB,OB,OC,OC
,,,,,,,,,,,,,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,,,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,,ADULT,MALE,FEMALE,CHILD,ADULT,MALE,FEMALE,CHILD,ADULT,MALE,FEMALE,CHILD,MAX,COEFF,MAX,COEFF,MAX,COEFF
CN-RNZ,RNZ,02-2023,21/09/2023,12C147Y,EG1305,75296,75069,66360,62731,20893,41224,"44,83",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1287,"+4,27",1043,"+2,76",1160,"+1,45",260,"-0,93",59,"+0,84",236,"+3,34",159,"-1,0021","-1,0498","-0,8351","-0,4176","-0,3003","-0,3146","-0,2503","-0,1251","+0,6565","+0,6877","+0,5471","+0,2735",12,0.071124,78,0.490689,69,
CN-ROB,ROB,01-2025,08/04/2025,12C147Y,EG1305,75296,75069,66360,62731,20893,41288,"43,50",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",85,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1287,"+4,28",1043,"+2,77",1160,"+1,46",260,"-0,93",59,"+0,83",237,"+3,33",159,"-0,9919","-1,0392","-0,8266","-0,4133","-0,2911","-0,3050","-0,2426","-0,1213","0,6569","0,6882","0,5474","0,2737",12,0.069849,78,0.487669,69,
CN-ROE,ROE,001-2025,16/12/2025,12C147Y,EG1305,75296,75069,66360,62731,20893,41351,"43,21",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1286,"+4,28",1042,"+2,77",1159,"+1,46",259,"-0,92",60,"+0,83",238,"+3,32",159,"-0,9919","-1,0392","-0,8266","-0,4133","-0,2911","-0,3050","-0,2426","-0,1213","0,6569","0,6882","0,5474","0,2737",12,0.069849,78,0.487669,69,
CN-ROH,ROH,001-2024,12/03/2024,12C147Y,01-901734-002,79242,79015,66360,62731,20893,41366,"45,28",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1288,"+4,28",1044,"+2,77",1161,"+1,46",261,"-0,92",59,"+0,83",236,"+3,32",159,"-0,9919","-1,0392","-0,8266","-0,4133","-0,2911","-0,3050","-0,2426","-0,1213","0,6569","0,6882","0,5474","0,2737",12,0.069849,78,0.487669,69,
CN-ROJ,ROJ,01-2025,23/10/2025,12C147Y,01-901734-001,79242,79015,66360,62731,20893,41274,"44,94",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1288,"+4,27",1044,"+2,76",1161,"+1,45",261,"-0,93",59,"+0,83",236,"+3,33",159,"-0,9919","-1,0392","-0,8266","-0,4133","-0,2911","-0,3050","-0,2426","-0,1213","0,6569","0,6882","0,5474","0,2737",12,0.069849,78,0.487669,69,
CN-ROK,ROK,001-2024,24/04/2024,12C147Y,EG1305,78471,78244,66360,62731,20893,41353,"44,29",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1287,"+4,28",1043,"+2,77",1160,"+1,46",260,"-0,92",59,"+0,83",237,"+3,32",159,"-0,9919","-1,0392","-0,8266","-0,4133","-0,2911","-0,3050","-0,2426","-0,1213","0,6569","0,6882","0,5474","0,2737",12,0.069849,78,0.487669,69,
CN-ROL,ROL,001-2024,15/02/2024,12C147Y,EG1305,78471,78244,66360,62731,20893,41371,"44,59",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1287,"+4,28",1043,"+2,77",1160,"+1,46",260,"-0,92",59,"+0,83",237,"+3,32",159,"-0,9919","-1,0392","-0,8266","-0,4133","-0,2911","-0,3050","-0,2426","-0,1213","0,6569","0,6882","0,5474","0,2737",12,0.069849,78,0.487669,69,
CN-ROP,ROP,001-2023,08/04/2023,12C147Y,EG1305,78471,78244,66360,62731,20893,41155,"46,10",52,"-0,65",,,,,23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1286,"+4,27",1042,"+2,76",1159,"+1,44",259,"-0,94",60,"+0,84",238,"+3,34",159,"-0,9919","-1,0392","-0,8266","-0,4133","-0,2911","-0,3050","-0,2426","-0,1213","0,6569","0,6882","0,5474","0,2737",12,0.072397,78,0.482882,69,
CN-ROR,ROR,002-2023,10/11/2023,12C147Y,EG1305,78471,78244,66360,62731,20893,41318,"44,20",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1286,"+4,28",1042,"+2,77",1159,"+1,46",259,"-0,93",60,"+0,83",238,"+3,33",159,"-0,9919","-1,0392","-0,8266","-0,4133","-0,2911","-0,3050","-0,2426","-0,1213","0,6569","0,6882","0,5474","0,2737",12,0.069849,78,0.487669,69,
CN-ROS,ROS,001-2023,02/03/2023,12C147Y,EG1305,78471,78244,66360,62731,20893,41323,"44,63",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1288,"+4,27",1044,"+2,76",1161,"+1,44",261,"-0,94",59,"+0,84",236,"+3,34",159,"-0,9919","-1,0392","-0,8266","-0,4133","-0,2911","-0,3050","-0,2426","-0,1213","0,6569","0,6882","0,5474","0,2737",12,0.069849,78,0.487669,69,
CN-ROT,ROT,001-2025,27/02/2025,12C147Y,EG1305,78471,78244,66360,62731,20893,41398,"44,14",51,"-0,65",,,,,23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1287,"+4,27",1043,"+2,76",1160,"+1,45",260,"-0,93",59,"+0,83",237,"+3,33",159,"-0,9919","-1,0392","-0,8266","-0,4133","-0,2911","-0,3050","-0,2426","-0,1213","0,6569","0,6882","0,5474","0,2737",12,0.072397,78,0.482882,69,
CN-ROY,ROY,01-2025,02/03/2025,12C147Y,EG1303,78471,78244,66360,62731,20893,41570,"44,84",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1287,"+4,27",1043,"+2,76",1160,"+1,45",260,"-0,93",59,"+0,83",237,"+3,33",159,"-0,9919","-1,0392","-0,8266","-0,4133","-0,2911","-0,3050","-0,2426","-0,1213","+0,6569","+0,6882","+0,5474","+0,2737",12,0.069849,78,0.487669,69,
CN-ROZ,ROZ,02-2025,04/11/2025,12C147Y,EG1303,78471,78244,66360,62731,20893,41505,"43,83",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1286,"+4,27",1042,"+2,76",1159,"+1,44",259,"-0,94",60,"+0,84",238,"+3,34",159,"-0,9919","-1,0392","-0,8266","-0,4133","-0,2911","-0,3050","-0,2426","-0,1213","+0,6569","+0,6882","+0,5474","+0,2737",12,0.069849,78,0.487669,69,
CN-ROC,ROC,001-2023,12/04/2023,12C147Y,EG1305,75296,75069,66360,62731,20893,41313,"45,03",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1287,"+4,28",1043,"+2,77",1160,"+1,46",260,"-0,92",59,"+0,83",237,"+3,32",159,"-0,9919","-1,0392","-0,8266","-0,4133","-0,2911","-0,3050","-0,2426","-0,1213","+0,6569","+0,6882","+0,5474","+0,2737",12,0.078062,78,0.490096,69,
