AIRCRAFT,ABREV,REV,REV_DATE,VERSION,LOPA,MAX TAXI,MAX TAKEOFF,MAX LANDING,MAX ZERO FUEL,FUEL CAPACITY,EMPTY,EMPTY,FLY AWAY KIT,FLY AWAY KIT,FLY AWAY KIT,FLY AWAY KIT,FLY AWAY KIT,FLY AWAY KIT,CHEMICAL FLUID,CHEMICAL FLUID,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,STRETCHER,STRETCHER,STRETCHER,STRETCHER,PANTRY,PANTRY,PANTRY,PANTRY,PANTRY,PANTRY,PANTRY,PANTRY,WATER,WATER,WATER,WATER,MAX_PAX,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,DISTRIBUTION,DISTRIBUTION,DISTRIBUTION,DISTRIBUTION,DISTRIBUTION,DISTRIBUTION
,,,,,,,,,,,WEIGHT,INDEX,PERMANENT,PERMANENT,OCCASIONNAL,OCCASIONNAL,VIP,VIP,WEIGHT,INDEX VAR,Captain or FO,Captain or FO,1ST OBS,1ST OBS,2ND OBS,2ND OBS,FWD LH,FWD LH,FWD RH,FWD RH,AFT LH,AFT LH,AFT RH,AFT RH,RIGHT,RIGHT,LEFT,LEFT,A,A,B,B,C/E/F,C/E/F,D,D,DRINKING by 1/4,DRINKING by 1/4,by 1/4,by 1/4,,OA,OA,OA,OA,OB,OB,OB,OB,OC,OC,OC,OC,OA,OA,OB,OB,OC,OC
,,,,,,,,,,,,,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,,,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,,ADULT,MALE,FEMALE,CHILD,ADULT,MALE,FEMALE,CHILD,ADULT,MALE,FEMALE,CHILD,MAX,COEFF,MAX,COEFF,MAX,COEFF
CN-MAX,MAX,02-2025,30/10/2025,12C144Y,378-4741,82417,82190,69308,64818,20728,44362,"35,62",52,"-0,46",,,,,23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,16",75,"-1,16",75,"+1,10",75,"+1,10","57,16","+0,63","57,16","+0,63",967,"+4,61",758,"+2,36",915,"+4,00",168,"-2,64",59,"+0,83",236,"+3,32",156,"-0,9816","-1,0283","-0,8180","-0,4090","-0,2954","-0,3095","-0,2462","-0,1231","0,6350","0,6653","0,5292","0,2646",12,0.074826,78,0.5,66,
CN-MAY,MAY,02-2025,23/11/2025,12C144Y,378-4741,82417,82190,69308,64818,20728,44460,"36,61",52,"-0,46",,,,,23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,16",75,"-1,16",75,"+1,10",75,"+1,10","57,16","+0,63","57,16","+0,63",967,"+4,61",758,"+2,36",915,"+4,00",168,"-2,64",59,"+0,83",236,"+3,32",156,"-0,9816","-1,0283","-0,8180","-0,4090","-0,2954","-0,3095","-0,2462","-0,1231","0,6350","0,6653","0,5292","0,2646",12,0.077739,78,0.5,66,
CN-RGE,RGE,001-2024,08/04/2024,12C147Y,EG1302,78471,78244,66360,62731,20893,41569,"44,83",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1287,"+4,27",1043,"+2,76",1160,"+1,44",260,"-0,94",59,"+0,84",237,"+3,34",159,"-1,0021","-1,0498","-0,8351","-0,4176","-0,3003","-0,3146","-0,2503","-0,1251","+0,6565","+0,6877","+0,5471","+0,2735",12,0.070102,78,0.489117,69,
CN-RGF,RGF,001-2023,31/03/2023,12C147Y,EG1302,78471,78244,66360,62731,20893,41646,"45,03",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1287,"+4,28",1043,"+2,77",1160,"+1,46",260,"-0,92",59,"+0,83",237,"+3,32",159,"-1,0021","-1,0498","-0,8351","-0,4176","-0,3003","-0,3146","-0,2503","-0,1251","+0,6565","+0,6877","+0,5471","+0,2735",12,0.070102,78,0.489117,69,
CN-RGG,RGG,001-2024,23/12/2024,12C147Y,EG1302,78471,78244,66360,62731,20893,41607,"44,62",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1288,"+4,28",1044,"+2,77",1161,"+1,46",261,"-0,93",59,"+0,83",236,"+3,33",159,"-1,0021","-1,0498","-0,8351","-0,4176","-0,3003","-0,3146","-0,2503","-0,1251","+0,6565","+0,6877","+0,5471","+0,2735",12,0.070102,78,0.489117,69,
CN-RGH,RGH,01-2025,10/06/2025,12C147Y,EG1302,78471,78244,66360,62731,20893,41650,"44,63",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1287,"+4,28",1043,"+2,77",1160,"+1,46",260,"-0,92",59,"+0,83",237,"+3,32",159,"-1,0021","-1,0498","-0,8351","-0,4176","-0,3003","-0,3146","-0,2503","-0,1251","+0,6565","+0,6877","+0,5471","+0,2735",12,0.070102,78,0.489117,69,
CN-RGI,RGI,001-2022,16/02/2022,12C147Y,EG1302,78471,78244,66360,62731,20893,41726,"44,73",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1287,"+4,28",1043,"+2,77",1160,"+1,46",260,"-0,92",59,"+0,83",237,"+3,32",159,"-1,0021","-1,0498","-0,8351","-0,4176","-0,3003","-0,3146","-0,2503","-0,1251","+0,6565","+0,6877","+0,5471","+0,2735",12,0.070102,78,0.489117,69,
CN-RGJ,RGJ,001-2024,27/03/2024,12C147Y,EG1304,78471,78244,66360,62731,20893,41699,"44,16",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1286,"+4,28",1042,"+2,78",1159,"+1,46",259,"-0,92",60,"+0,83",238,"+3,32",159,"-0,9919","-1,0392","-0,8266","-0,4133","-0,2911","-0,3050","-0,2426","-0,1213","0,6569","0,5976","0,5474","0,2737",12,0.069849,78,0.487669,69,
CN-RGK,RGK,001-2025,21/10/2025,12C147Y,EG1304,78471,78244,66360,62731,20893,41292,"43,49",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1288,"+4,28",1044,"+2,77",1161,"+1,46",261,"-0,93",59,"+0,83",236,"+3,33",159,"-0,9919","-1,0392","-0,8266","-0,4133","-0,2911","-0,3050","-0,2426","-0,1213","0,6569","0,6882","0,5474","0,2737",12,0.069849,78,0.487669,69,
CN-RGM,RGM,01-2026,10/03/2026,12C147Y,EG1304,78471,78244,66360,62731,20893,41861,"46,68",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1288,"+4,27",1044,"+2,76",1161,"+1,45",261,"-0,93",59,"+0,83",236,"+3,33",159,"-0,9919","-1,0392","-0,8266","-0,4133","-0,2911","-0,3050","-0,2426","-0,1213","0,6569","0,6882","0,5474","0,2737",12,0.069849,78,0.487669,69,
